line	text
1	يا زكريا بيه.. يا زكريا بيه..
2	خير يا عم متولى.. ايه فى !؟.. بتنادم ليه على عمى كِده و انت عارف انه مش موچود من اساسه !؟..
3	ألحج يا حمزة بيه.. البوليس بره عايزك..
4	عايزنى انا!؟..طب دخلهم نشوف فى ايه.. اكيد فى سوء تفاهم..
6	انت الباشمهندس حمزة سليم الهوارى!؟..
7	ايوه انا.. خير يا حضرة الظابط!؟..
8	للاسف مش خير يا باشمهندس.. انت مطلوب القبض عليك فى قضية تهريب مخدرات ضمن الشحنة اللى جاية بأسمك ف المينا..
9	مخدرات!؟.. مخدرات ايه !؟.. اكيد فى لبس حضرتك.. دى شحنة أدوات و معدات انشاء.. اكيد فى حاچة غلط.
10	الكلام ده تقوله ف النيابة.. اتفضل معانا..
11	انتم واخدينه على فين !؟.. حمزة مش ممكن يعمل كده !؟.. ده كدب.. اكيد فى حاجة غلط.. سيبوه..
12	هدييير.. اطلعى على فوج.. و اكيد فى سوء تفاهم ف الموضوع.. كلمى عمى و شوفى ممكن يعمل ايه..
13	مش هسيبهم يخدوك.. انت معملتش حاجة.. انا متاكدة.. انت مش ممكن تعمل اللى بيقولوا عليه ده..
14	بقولكم سيبوه.. و الله ده برئ.. حمزة مش ممكن يعمل كده ابدا..
15	يا مرت عمى.. خدى هدير على فوج.. و كلمى عمى ضرورى ياچى مع المحامى يشوف فى ايه..
21	ايه فى يا سندس !؟.. مش بكفياكِ يا بنت الناس!؟..
22	مش بأيدى يا باثل..
23	انتِ رحتى السرايا النهاردة.. صح !؟..
25	خبر ايه يا سندس !؟.. ده انتِ مؤمنة بقضاء ربنا.. و الحمد لله انه حى يرزق
27	مش عايز اشوفك زعلانة تانى..
28	انا جولت التعليم دِه ممنوش فايدة محدش صدجنى..
29	ليه بقى ملوش فايدة..هاا !
30	هم مش جالوا لنا ف المدرسة ان الدموع دى طعمها زى المِلح..
31	أمال دموعك ليه طعمها سكر..
32	و النعمة يا جدعااان سكررر..
35	
45	خالى طالبك..
47	عايزنى انا..!؟
50	طب بص يا معلم.. انا نازل ع القهوة مع عامر و ابقى حصلنا..
51	و ماله يا بنى.. و تسلم مجيتك يا عامر يا بنى.. صاحب واجب.. و الف سلامة عليك.. انا عارف انك اتصبت و ده اللى كان سبب تأخيرك عننا..
52	الله يسلمك يا معلم و الشهيد نادر كان اكتر من اخ..
53	كويس انك خدت بالك انى عايزك لوحدك.. انت ليك عندى أمانة
54	أمانة ايه.!؟..
