line	text
2	اني رايح ورا هاشم وجميله واهو ونس طريق بدل مااسافرلحالي
3	والله مامطمنالك ياولد عمي
4	هنخيب اياك
7	والله يايوسف لو اتكررت
9	امشي ابت روحي سكتي ولدك وخدي بالك من وهبه
10	واااه هتوصيني على ولد خوي ده ف عيوني
11	تسلم عيونك التنتين
12	اباي عليك وعلى كلامك
14	كيف مانتي مدوخاني عاد
17	لا ياخوي عوزاك سالم
20	اباااي عشان بحبك وبغير عليك
21	طب اهدي عليا الله يرضي عليكي كده مارايحش ف حته وهقعد جارك
24	سلام
30	هستاذن اجيب الاكل من الناس اللي قولتلهم يعملوه
31	بس ليه تعذب حالك وتحملنا جمايل من الناس
32	لااه اني مديهم فلوس لكده بس ناس نظاف وعارفهم بس غلابه حبتين وبديهم اجره الوكل ماهيعملهوش ببلاش
35	والله الود ودي ارافقها اهنه بس ده عمبر حريم وبعد الزياره ماحدش يعرف يدخل من الرجال مع انها ف غرفه لحالها لكن نظام المستشفي اكده
36	خلاص خليك على مااخلص واعاود تاني لك عشان لو احتاجو حاجه تبقي جمبها
37	ماشي ياخوي الف شكر
38	ابتشكرني على وقفتي ويا اختي جرا ف مخك شيء.
39	طب يلا عشان ماتتاخرش وتعاود قبل الظلام كمان
40	ماشي ماعاوزش مني شيء
41	عاوزك سالم ياخوي
46	طبعا انتي دكتوره وعارفه كل التعليمات والاكل مسلوق ابعدي عن الزيوت والمواد المهدرجه لانها هي اللي بتسبب السرطانات
47	اباي ماتتحدت وياي انا
48	وانت مالك انت انا بكلم المريضه بتاعتي.
49	واني جوزها وماحبش حد يتحدت ويا مرتي قولي واني هقولها
50	طب ماهي قدامي اهي اقولك انت ليه يعني
51	واد يامصراوي ياملزق انت اني مش مرتاحلك عاد
55	عنده عمليه ف مصر ووصاني اباشر الحاله لحد اما يرجع
56	اوباشرتها وتشكر لحد اكده ماعاوزينش خدماتك عاد وهنستنوه اهاااا
59	انت هتعيب ف الصعايده اياك
63	ليه اكده ياهاشم ده دكتور وبيأدي عمله
64	سكري خاشمك ده
66	مش بيرفع من روحي المعنويه
67	وحياه...
69	خلاص خلاص سكرته اهاا اهدي بقي مابستحملش اشوفك زعلان ومضايق اكده
70	وبعدهالك عاد احنا ف مستشفي اتلمي
73	بس اني ليا اكل معين
74	اني خابر وجايبلك شوربه خضار زينه هتاكلي صوابعك وراها
77	هتهملوني لحالي اهنه
78	معلش ياخايتي اني يوم ويوم هاجي اكده اجبلكو اكل بيتي والباقي تسخنهولها ياهاشم تاني يوم وانت جاي
81	مش عارف اجولك ايه.
82	ماتجولش حاجه انا لو اطول اجعد معاكو اهنه بس اختك قارشه ملحتي حبتين ومجنناني وياها وعشان بوي مايحسش كومان
83	ماشي يلا بينا
85	عيزاكو طيبين بالسلامه
86	هاشم
87	عيون هاشم
88	ماتتاخرش عليا
89	من النجمه هكون اهنه
95	سفر ايه عاد مافيش لنا شغل بعيد عن اهنه الا كل مده كبيره
96	يمكن اني عشان بيتاخر فكرته بيسافر
4	لاه ماتعيبش ف جميله عاد دي بنته زينه والف من يتمناها ودي دكتوره وجميله صوح وبيجيلها دكاتره ومهندسين واكابر وهي إلى بترفض وانت محامي يعني لولا انك. ولد عمها واولي بيها ماكنت جلتلك بس جحا اولي بلحم توره.
10	بس حتى لو وافقت اني مش ممكن اجوز اختي للصايع ده اللي اسمه يوسف
