line	text
1	"فى شقة بيان
"
2	"بعد الأنتهاء من الغداء
"
3	"بيان وهى تحمل الأطباق وتذهب تجاه المطبخ انا هروح اغسل المواعين وانتو واحدة تنضف السفرة وواحدة تروح تعمل شاى خلى المعدة تقدر تهضم الأكلة الجامدة دى
"
4	"شغف: أنا هنضف السفرة
"
5	"جنا بضحك: وانا هروح أعمل الشاى
"
6	"بيان بضحك: وانا هروح اغسل المواعين
"
7	"ثوانى وذهبت كل فتاة حتى تقضى مهمتها
"
8	"بعد مرور وقت
"
9	"كانت كل فتاة تحمل كوب من الشاى ويجلسون أمام التلفاز.
"
10	"بيان: شغف بابى قالى أن ورقك اتحول الجامعة هنا وتقدرى من بكرة تروحى لجامعة
"
11	"شغف وهى تحتضن بيان: بجد يا بيان شكرا قوى
"
12	"بيان وهى تبادلها العناق: حبيبتى ياشغف على اى بس انتى اختى
"
13	"جنا وهى تحتضنهم: خدونى خدونى وسطكم
"
14	"ادونى من الحضن جانب
"
15	"بيان وهى تضحك: تعالى ياأخرة صبرى
"
16	"واحتضنوا بعضهم بقوة
"
17	"بيان: إن شاء الله هنفضل مع بعض ديما اخوات وأصدقاء
"
18	"شغف وجنا: إن شاء الله.
"
19	"فى منزل رجب
"
20	"عاد حمزة من العمل وكان يظهر على وجه الأرهاق
"
21	"سيدة والدة حمزة: حمدالله على السلامه ياحمزة
"
22	"حمزة وهو يقبل أيد والدته: الله يسلمك يا امى
"
23	"سيدة بخوف: مال وشك مخطوف كده وباين عليه التعب
"
24	"حمزة: مفيش يا امى بس النهاردة كان فى ضغط فى الشغل عشان كده جاى تعبان مش أكتر
"
25	"سيدة: براحة على نفسك يابنى فى الشغل كل حاجة الا صحتك ياحمزة
"
26	"حمزة: حاضر يا أمى متقلقيش نفسك بس عشان متتعبيش.
"
27	"سيدة: حبيبى انا لو مقلقتش عشانك انت هقلق عشان مين ده انت ولدى الوحيد ونور عينى ده انا امنيه حياتى أشوفك مبسوط وربنا يطول فى عمرى لحد ما اشوف عيالك
"
28	"حمزة وهو يقبل رأس والدته: بعد الشر عليكى يا امى ربنا يخليكى ويحفظك ليه يارب
"
29	"سيدة: أنا هروح اجهز الأكل لحد ما رجب ياجى من الشغل
"
30	"حمزة: ماشى يا امى وانا هروح أغير هدومى
"
31	"ذهب حمزة لغرفته بينما ذهبت سيدة للمطبخ حتى تقوم بتحضير الطعام
"
32	"بعد مرور وقت خرج حمزة.
"
33	"ووجد والدته تجلس على المقعد فى انتظار والده
"
34	"حمزة: هو بابا لسه ماجاش
"
35	"سيده: زمانه جاى دلوقتى
"
36	"فى هذا الوقت استمعوا لصوت فتح الباب ثم دخول رجب
"
