line	text
2	هتتجوز خلاص ياسليم ! انا مش قادرة اصدق ؟! طب ازاي هتقدر تتبسط وتقعد جمبها فالكوشة .. هانت عليك وجد .. وكمان مكنتش بترد عليّ .. !
4	اسمع منى بس صورتك من غير الدقن احلي ..
7	غريبه دي! .. اول مرة اشوف بنت ماعتحبش الدقن .. مع انهم بيقولوا عتزلزل قلب الستات ..
9	ومين قالك انى عاوزاك تزلزل قلب ست غيرى !..وبعدين انت مالك مبسوط وانت عتقولها اكده .. عااارررف ياااسليم لو شمِت بس ريحة ست عدت من جمبك بالصدفه .. هقتلك ! ..
11	عتغيري !
13	اااه .. ولما عغير عقتل .. اتقى شري عااد ...
15	تخافيش اي ست عتقرب منى شبح حبك اللي محاصرنى عيكهربها ...
19	مش فاهمه .. قصدك ايه ؟!
21	قصدى يعنى الدقن لها كذا فائده وانتِ المستفيده من الموضوع دا يكون في علمك ..
23	انت كلامك غريب ليه اكده ! وبعدين متحاولش تقنعني ولا انت عاوز البنات تعجب بيك وخلاص !
25	انا البنات عتموت عليّ حتى لو لبست فروة خروف .. مش الدقن يعنى اللي هتشدهم .. انا والحمد لله امكانياتى عتتكلم عنى ... والمفروض انتى اللي تكونى عارفه اكده .. ولا اييييه ..
27	بطل طريقتك دى .. هزعلك !
29	استنى اهنه .. كيف تمشي انتى من غير مااسمحلك ؟!
31	كل نظرة من عيونك مغريه للموت فيهم يابت العتامنه ...
33	بتحبنى !
35	هو انا ليه لازم اقولها كل شويه .. مع ان كل تصرفاتى عتأكدلك انى مش عاشق غيرك .. ليه كل مرة تقابلينى فيها عتسألينى هي تصرفاتى مش كفايه تثبتلك ؟!
37	انا عحب اسمعها في كل وقت .. عطمن ( بطمئن ) بيها ياسليم .. بيها عحس انك عمرك ماهتبعد عنى ... كلمة عحبك منك وجبة غذائيه متكامله عتغذى قلبي وروحى بفيتامينات وبروتينات حبك .. بيها انا عايشه .. ..
39	وطول ماانا عايش مش هتسمعى غيرها ياوجد ...
41	افهم من كده انك خلاص غفرتى وسمحتيلى اسيب دقنى ...
43	اتلمم ... قولت لا يعنى لا، تتحلق من بكرة ...
45	عشان حمارة .. علي العموم انتى اللي خسرانه وهتخسري كتير ...
50	حلاوتك وانت وعريس ياابو حميد ...
52	سامحينى يانيرة .. بس مجبر .
55	سامحينى ياوجد .. بس ورحمة ابويا لاعوضك عن كل دمعه وجع هتنزل علي خدك ...
59	اتنيلى ! انا مش عارفه انتى فرحانه علي ايه ياختى ..
61	هكون مع حبيبي لاخر العمر ياصفوة .. هو في احلي من كده ؟!
