line	text
1	"تركها تنضم للحريم ما ان وصلا للنجع الذى يقام به الزفاف
"
2	"و هي قدمت نفسها لحريم الدار متباهية و مدت يدها تساعد و تجود بما تستطيع و هي في قمة فرحتها منتشية و هي تخبر النساء انها زوجة الشيخ عبدالعزيز الفقى الذى جاء خصيصا لإحياء الليلة الميمونة بطلب من العمدة عتمان بذات نفسه..
"
3	"تجمعت النسوة في تلك المندرة التي خصصتها ام العريس لتكون موضع فرحهن و رقصهن و غنائهن في تلك الليلة التي سيودع فيها ولدها البكر بيت ابيه مغادرا لبيته ليبدأ حياته كرجل مستقل..
"
4	"كانت روح تزرع المندرة ذهاباً و اياباً رغبة في ابداء الفرحة و المساعدة في تقديم الشراب و التحية للجميع.
"
5	"و ما ان خرجت من المندرة حتى اصطدمت بجسد ضخم كاد ان يسقطها أرضا لولا انه لحق بها هامسا في نبرة تحمل الكثير في طياتها: - اسم الله عليكِ، مش تحاسبى على نفسك..
"
6	"كان يساعدها على النهوض و كفه تجول بصفاقة على ذراعها و كتفها
"
7	"مما دفعها لتنتفض مبتعدة هاتفة في تأكيد حازم: - انا بجيت كويسة، كتر خيرك يا عمدة..
"
8	"و اندفعت منصرفة بهرولة واضحة من أمامه متوجهة لجزء خفى من ذاك الصوان الذى أقامه العمدة للرجال.
"
9	"و الذى تسمع منه صوتا مجلجلا ينشد بعذوبة رقص لها قلبها
"
10	"و هي تدرك بفؤادها قبل مسامعها ان ذاك الذى يملأ مشارق النجع و مغاربه بصوته الشجى هو زوجها و مالك قلبها الوحيد
"
11	"وقفت على طرف خفى من الصوان تتطلع اليه و هو يصول و يجول و ينشد بسلطنة عالية و جميع الحضور يهلل في سعادة مطالبين بالإعادة مرة تلو الأخرى..
"
12	"دمعت عيناها فرحا و هي تدعو له في سرها و من أعماق روحها و.
"
13	"تسللت لتعود حيث موضع اجتماع النساء من جديد..
"
14	"هتف العمدة عتمان في خفيره الذى يلازمه كظله
"
15	"و هو يتطلع بنهم لروح التي غادرت منذ لحظات أمامه حتى غابت: - مين دى يا واد يا مصلحى..!؟، دى أكيد غريبة..!، مش من النچع..
"
16	"هتف الخفير مؤكدا فى سرعة: - مظبوط يا چناب العمدة..
"
17	"دى روح مرت المنشد اللى اسميه عبعزيز الفجى..
"
18	"همس عتمان في حقد: - بجى الجمر دى مرت الچربان دِه..!؟.
"
19	"لكن خفيره وعى كلماته رغم همسه بها ليهتف مؤكدا: - اه يا چناب العمدة، حظوظ، سبحانه العاطى الوهاب..
"
20	"اومأ العمدة عتمان برأسه مؤكدا على كلام خفيره دون ان ينبس بحرف واحد، لكن نظراته حيث غابت روح منذ دقائق
"
21	"كانت ابلغ من آلاف الكلمات..
"
22	"اندفع عتمان داخل داره يعتلى الدرج في غضب و صوت النساء و غنائهن يصم آذانه..
"
23	"ليدلف بعنف لحجرة ما في اخر الرواق الذى وصله يلهث من فرط انفعاله..
"
24	"وقف على اعتاب الحجرة يتطلع لتلك المذعورة لهجومه المفاجئ على غرفتها بهذا الشكل
"
25	"و رغم ان هذا هو المعتاد منه الا انها في كل مرة تشعر بنفس الغصة و انقباض القلب..
"
26	"أغلق خلفه باب الغرفة في عنف
"
27	"و اقترب منها في بطء مدروس كفيل بإثارة الرعب في اعتى القلوب..
"
28	"الا قلبها هي..
"
29	"ظلت على حالها ساكنة تتطلع اليه يقترب منها كشبح الموت دون ان يطرف لها جفن حتى..
"
30	"ما ان وصل اليها حتى انتزعها من الفراش من اعلى ذراعها لتندفع مصطدمة بصدره بقوة
"
31	"ليهمس بالقرب من اذنها و بأنفاس متقطعة رغبة فيها: - لساتك على عيندك و نشوفية دماغك..!؟.
"
32	"هتفت شوق و هي تدفع به بعيدا منتزعة نفسها من بين ذراعيه: - و لا بعد ميت سنة يا عتمان..
"
33	"جلبى أرميه لديابة الچبل و لا اسلمه لواحد زييك..
"
34	"اندفع كالمجنون بإتجاهها.
"
35	"و ما ان وصل موضعها حتى هوى على وجنتها بكف يده ليترد صدى صفعته مدويا في جنبات الغرفة
"
36	"لترفع كفها إلى خدها المصفوع في بطء و هي تتطلع اليه في سخرية لثوان
"
37	"و أخيرا تنفجر ضاحكة بشكل هستيرى اثار شياطين جنونه
"
38	"ليهزها صارخا فيها: - انتِ ايه..!؟، مخلوجة من ايه..!؟، من صوان..
"
39	"و أخيرا يلقى بها على الفراش في عنف لتهتف به متطلعة اليه في تقزز سافر اثار المزيد من حنقه الذى وصل لذروته بالفعل: - انا بجيت صوان من يوم ما دخلت دارك غصب
"
40	"و خدتنى غصب
"
41	"و هفضل كده لحد ما تموت، يا اموت انى..
"
42	"انتفض مندفعا اليها كثور هائج
"
43	"يأخذها بين ذراعيه عنوة بغية امتلاكها هاتفا: - يبجى بتحلمى، لأنى ناوى ألين الصوان دِه و لو كان دِه اخر حاچة اعملها جبل ما أموت..
"
44	"سخرت منه و هي يحاول كتم همساتها بقبلاته المقززة: - يبجى هموت انى و أحسرك علىّ و على حالك يا عتمان..
"
45	"كتم المزيد من سخرياتها التي لا يطيقها
"
46	"وقضى منها حاجته و نهض في غضب يسب و يلعن اليوم الذى رأها فيه و تعلق بها قلبه رغم عن زوجتيه
"
47	"و تمنى امتلاكها قلبا و جسدا
"
48	"الا انها ابت عليه ذلك
"
49	"و ما يناله منها الا جسد متخشب و قلب لم يعد حتى بموضعه لتهبه إياه..
"
50	"ما ان هم بمغادرة الغرفة حتى استدار أمراً: - جومى انزلى للحريم و جاملى ضرتك ف ولدها البكرى..
"
51	"لم تعلق شوق بحرف
"
52	"بل انها ما ان أغلق باب الغرفة راحلا حتى بثقت عقبه في غل..
"
53	"ورغم ما يجيش بصدرها من مشاعر قهر و مرارة
"
54	"الا انها لم تستطع البكاء قط..
"
1	"استفاق الشيخ عبدالعزيز من نوبة إغماءه بعد ما لاقاه على يد الخفراء
"
2	"و الذين تناوبوا على ضربه و كأن بينهم ثأر قديم
"
3	"ليتلفت حوله فى تيه قبل ان يدرك أين هو..
"
4	"و ماذا حدث ليصبح بهذا الشكل المتورم..
"
5	"هتف فى حنق و هو يحاول تخليص نفسه من أسر قيوده: - فكونى، تعالوا سيبونى يا ظلمة..
"
6	"مرتى يا كفرة ف يد الظالم دِه، شرفى، فكوونى..
"
7	"هتف احد الخفراء موبخا
"
8	"من خارج الزريبة: - اخرس يا جعر
"
9	"و احمد ربك انك لساتك عايش..
"
10	"دِه لولا طيبة جلب العمدة
"
11	"كان زمانك مرمى ع السكة مجتول
"
12	"و لا محدوف ف الرياح و خلصنا من چعيرك..
"
13	"صرخ فيهم الشيخ عبدالعزيز من جديد لكن بلا جدوى
"
14	"و كأنه يخاطب اصنام صماء..
"
15	"حاول تخليص نفسه من جديد
"
16	"لكن لا قوة به لذلك فقد عدمها من كثرة الضرب المبرح الذى ناله..
"
17	"توجه لله بقلب متضرع و عين دامعة.
"
18	"و هو يتذكر روح زوجه وحيدة بين يدى هذا الجبار لا حول لها و لا قوة فتستعر النيران بين حنايا روحه نخوة و عصبية على شرفه
"
19	"يكاد يموت قهرا من عجزه لإنقاذ زوجته و الزود عنها و حمايتها كما يجب
"
