line	text
1	"لم يصدق نوح ما عرضه عليه يزيد بل نظر اليه مبتسما بسعادة جعلت يزيد يقهقه من ردة فعله، احس نوح بالحرج قليلا فتحدث اليه يزيد قائلا:
"
2	"يمكن انا مش والد ديدا الحقيقي بس هي فعلا بنتي، قدرت بوجودها تعوضني انا وسهيلة احساس ومشاعر اتحرمنا منها ولو انا مش متأكد من حبك ليها وحبها ليك مستحيل كنت هطلب منك تتمموا جوازكم وخاصة ان الظروف مش سهلة..
"
3	"انا حاسس بيك جدا يانوح وعارف يعني تبقي محروم من انسان روحك متعلقة بيه، بس قبل ما ترد عليا وتوافق او ترفض ياريت توعدني ان تحافظ عليها.
"
4	"نوح بحزن: حضرتك خابر ان ميادة مرتي من زمان جوي مش دلوك وخابر اني لو رايد اتمم چوازي منيها جبل اكده مكنش حد هيجدر يمنعني بس چيت على نفسي لما حسيت ان وچودها چنب مني هيأذيها هملتها تسافر وتبعد بس دلوك لاه اني تعبت ومبجاش جلبي يتحمل بعاد تاني والحل اللي جولتلي عليه مناسب عالجليل دلوك.
"
5	"يزيد: تمام انا شايف ان ميادة مش هترفض بس الأصول نكلم والدتها واخوها الكبير الأول ولو وافقوا نجهز اللازم ونفرح بيكم هنا...
"
6	"نوح بتوتر: يعني ايه، ولو چاد وخالة نوارة موافجوش..؟ ايه الحل؟
"
7	"يزيد: هنشوف يانوح بس اعتقد انهم مش هيرفضوا حتى لو في اعتراض فمصلحة ميادة هتبقى أولوية بالنسبة ليهم
"
8	"نوح: اتمني، وعالعموم انا هنتظر ردهم وبعد اكده هكلم امي وخالي فهد هو التاني ويبجى عنديهم خبر.
"
9	"ولا تشكو ظلاما يحيطك بيديه من كل اتجاه وانت جالس مكانك مستسلم له؛ فلا يغادر هو مكانا استوطنه إلى بعدما تأتيه أشعة الشمس الصارمة تدعوه بثبات إلى الخروج فيهرول خارجا ويترك لها المكان بأكمله تملؤه بنورها الدافئ وأشعتها الحانية
"
10	"تنهد بتعب وكم تكون التنهيدة قاسية اذا أتت من قلب كسير يهاب المضي قدما خوفا من الفشل ويود الحياة بسلام لكنه لا يستطيع...
"
11	"نظر الى المكان من حوله برفض فهو لن يستسلم لن يضيع الباقي من عمره هباء من اجل امرأة خائنة لا تستحق وها هي قد ذهبت بلا رجعة الى حيث تجتمع الخصوم وتوفى كل نفس جزاءها العادل وهو مازال على قيد الحياة، حياة رزقه الله بها عوضا عما فات، بداية جديدة وقلب نقي وروح عاشقة عليه استغلال فرصته الاخيرة ويكفي إلى هنا حماقة وبكاء على ما فات..
"
