line	text
2	يامرحب ياولدى
3	كيفك ياعمتى
4	بخير ياولدى مين دى ياولدى
5	دى ياستى قريبتك جوى جوى دى تبق بنت عمتى امنة
6	وها امنة خيتى انتى بنت خيتى
7	أيوة ياخالتو انا حب بنت امنة ومحمد ههههه
8	تعى في حضنى ياضنايا اشم فيكى ريحة خيتى
11	دكتور وليد اتفضل الاشعة إللى تخص انسة حب.
12	شكرا ياشذى
13	العفو عن اذنك
14	اتفضلى: فتح وليد الأشعة وقرأ التحليل
15	مش ممكن
17	الو تحت امرك ياافندم حاضر حالا هقطع الاجازة تحت امرك مع السلامة
18	خير ياولدى
19	هتنزل مصر
20	معلشى ياعمتى لازم دلوقتى ارجع في مامورية بينا ياحب اوصلك البيت واخد شنطة هدومى
21	طيب ياخالتى مع السلامة
22	هشوفك تانى يابتى وماتخفيش كلهاتنا هنية في ضهرك.
23	اكيد ياخالتى
24	يلى مافيش وقت
27	خلاص هتمشى
28	لازم البى نداء الوطن ههههه
29	ربنا معاك
30	خلى بالك من نفسك ووليد هنا معاكى وعمتى كمان اوعى تعملى أى حاجة وان شاء الله هخلص المأمورية دى وارجع عشان لازم نوضع حل بقى وعمتى وجوزها يرجعو وسطينا من جديد المهم اتصرفى بحكمة.
31	انا بفكر اروح عند جدى عبدالرحيم وانتو تكملو هنا لازم أبدأ مع جدى هناك وتيتة
32	لا طبعا خليكى هنا اوعى تروحى هناك انا مش ضامن ارجوكى بلاش هناك دلوقتى خليكى هنا لازم نوضع خطط كتير الموضوع مش سهل ماشى خلى بالك من نفسك وانا هكلمك دايما اطمن عليكى دلوقتى اشوف وشك على خير
33	مع السلامة هتوحشنا
34	وانتى كمان هتوحشنى اوى.
38	ازيك ياجدى عامل إيه
39	بخير يابتى كيفك
40	الحمدلله
41	وها انتى لامة خلجاتك وفيتانا يابتى ولا إيه عاد
42	بصراحة انا مش عايزة اسيبكم بس اكيد هنتقابل تانى ياتيتة بس عشان مشكلة السكن اتحلت لازم امشى
43	والله حبيتك كيف البنتة يابتى هتوحشك جوى جوى
44	نويتى خلاص يابتى بس اعرفى ان اهنية بيت جدك تيجى تجعدى فوج روسنا يابتى.
45	ربنا يخليك ياجدى قدها وقدود وقبلت جدتها وودعت البنات قمر وبدر واولادهم ادهم وصبرى وكامل
47	استنى يابتى حد من الرجالة يوصلك كيف مابدك لتوهى يابتى
48	لا ملوش لازم ياجدى الجامعة هتبعت حد يوصلنى السكن ماتقلقش اشوف وشكم بخير
49	في رعاية الله يابتى.
51	ياترى لينا نصيب نتقابل تانى ولا الامور هتتعقد ولا إيه ربنا يستر ويعينى على إللى.
3	بتضربنى ياود عمى
4	انت بتمد ايدك عليها لية هي ماغلطتش
5	انتى تخرسى خالص يابت امنة.
6	انتى إية ياشيخة عايزة تولعى في الدار عاجبك ان ابنك يضرب مراتة انتى مش امة المفروض تهدى ابنك مش تقوية كدة على مراتة ومها لو كانت راحت لدكتورة دة عشان ترضيك ياعمار وترضى الست امك إللى كل شويا تعايرها انها مخلفة بنت وعايزة تجبلك الولد عملت إيه غلط عشان تفضل مقهورة في بيتها وانت بدل ما تفهمها بالهدوء في إيه لا تمد ايدك وانتى إيه مشكلتك يامرات عمى كل شويا بنت امنة بنت امنة مالها بنت امنة احسن منك.
7	اخرسى يابت واتحدتى مع امى بادب
8	مش هتعامل معاها اصلا عشان مايشرفتيش ان اتكلم معاها بعد كدة
10	انتى جليلة الحية والرباية وانا هربيكى.
11	في إيه بيوحصل
12	انت اتجننت اياك بتمد يدك على بت عمك
13	انا غلطت لم جيت هنا
14	اهدى يابتى حوصل إيه.
15	عمار ضربنى بالقلم يابوى وحب دافعت عنى راح عامر ضربها هي كمان
16	لية حوصل إيه
17	اسالهم ياجدى عملو إيه.
18	واحنا مع طنط زينب بتشترى حاجات مها تعبت قولت لماهر يوصلنا المستشفى نطمن على مها ويرجع يجيب طنط زينب وزاهية ونروح كلنا بس ياجدو ماغلطناش لم حبينا نطمن على مها ودكتورة هي إللى كشفت عليها والله ياجدو ولم خرجنا نستنى ماهر في الاستقبال قابلنا عامر ومن غير مايفهم في إيه جابنا على هنا وفضل يزعق ووالدتة فضلت تهزق فينا انا ومها ماحدش فيهم ادنا فرصة نتكلم احنا غلطنا ياجدو.
19	لا يابتى ماغلطوش
20	وها يعنى إيه ماغلطوش
21	يعنى لم واحدة فيهم تعى وتمرض وتروح عند ضاكتورة تكشف مش غلط لازمن نطمن عليهم الاول مش تمد يدك ياعمار على مرتك سالتها هي كيفها إيه وجعها ياولد اخوى وانت يا كبير بتمد يدك على بت عمك باى حج
22	تحضن جدها: انا همشى بعد اذنك ياجدو
23	حجك علية يابتى لا مش هتمشى يابتى اطلعى استريحى وانتى يامها مالك يابتى.
24	تعبانة ياجدى هطلع اريح بعد اذنك
25	اطلعى يابتى وألف سلامة عليكى
27	مها بقولك اوعى تزعلى نفسك عشان ابنك وعمار دة لازم تعقبية
28	ازاى
29	لازم يتاسف ويصالحك واوعى تقولى انك حامل دلوقتى لازم يندم ويفكر بدل المرة الف قبل مايمد ايدو عليكى فاهمة اتقلى علية واوعى تستسلمى بسهولة
30	طيب سامحينى انضربتى بسببى
31	لا ولا يهمك بس انا لازم اربى عامر والعقربة امة.
32	ربنا يهديها البعيدة
33	اللهم آمين
34	إيه إللى حوصل مش يتجرر تانى يا عامر واللى ورحمة ابوك ماهسكت على تصرفك وبت عمك محمد مالكش صالح بيها لا انت ولا اخوك ولا امك خابرين
36	صحتك يابوى اهدى بس وكل حاجة هتتحل
38	هو انا ملطشة جواد يضربنى قبل كدة ودلوقتى عامر بس جواد انا سامحتة لكن عامر لازم يعتذر ويتاسف هو وامنا الغولة كمان
43	مها حجك علية ادى راسك احب عليها معلشى
44	بعد عنى ياعمار انت مافكرتش تطمن على ولا تعرف مالى بعد عنى
45	ياجلبى حجك عليه مش تزعلى عاد
46	قولت بعد وهملنى اتخمد
47	طب إيه بيوجعك لية كشفتى
48	هملنى مش هتحدت امعاك
49	براحتك
51	شوفتى جدى جلب علينا بسبب بت عمى.
52	طول مابت امنة في الدار اهنية هتاخد الكل تحت طوعها وجدك هيرضى عن عمك ومش بعيد يشيع يجيبهم سمعت جدك بيتحدت مع عمك وبيجولة اعطى امحمد حجة لو موت ولا جرالى حاجة ادى اخوك ارثة في الأرض والمال وكافة شئ شوفت جدك بعد لم طلع عنيكم وشجاكم وتعبكم راح يروح لعمك على طبج من دهب ودة مش يرضى ربنا بعد لم هرب عشرين سنة يرجع ياخد ارضة على الجاهز كدية.
53	طب والعمل يااماى وازاى يدخل الدار بعد ماكان سبب موت ابوى هو وبت العزازى كيف جدى هينسى كدية في طار بينا لازم يتنفذ
54	كيف ماجولت جدك نسى ابوك وبيفكر بس في عمك محمد وانت لازم تتصرف جبل ماعمك يجى هنية لازم نحتكم على الأرض وحج عمك يكون ليك انت وخيك
55	نعمل إيه عاد يااماى
56	لازمن نحط البت تحط عنينة لازمن مش تطلع براك انت وخيك واحد فيكم لازمن يتجوزها والفلوس والأرض تكون ليكم.
57	وها نتجوزها كيف احنا متجوزين وكمان عمى هيزعل منينة وانا مش بطيج البت دى
58	يبج عمار يتجوزها وتتحط تحت الضرس ولازمن نزلها ونشكمها ونعرفها مجامها بس انا عايزاك انت تجوزها وتربيها وتنسيها اسمها لازم ترجع حج ابوك إللى ناوية تاخدة هي وابوها مش تفرط في أرضك دى كيف عرضك ياولدى امال تستنو لم حد من جرايب امنة يتجوزها
59	وها عندك حج يا اماى عندهم وليد وجواد لسة من غير جواز.
60	اه عاد وياخدو أرض المنشاوى ويتحكمو فيكم لا يمكن يوحصل واصل
61	طب جدى هيرضى يجوزها لحد فينا
62	لازمن يرضى ياولدى لو عايز نتصالحو مع العزازية وننسو الدم والطار يبج يوافج يجوزك البت وعمك يرجع يعيش هنية لكن لو رفض مش هنسمح أرض المنشاوية يخدوها والدم هيبج لركب ولو بت امنة فكرت تجوز الضاكتور ولا الظالط اياك هتترمل يوم دخلتها وبدل ما تدخل دنيا هتدخل القرافة عاد
63	عندك حج يااماى عفارم عليكى.
1	لا جايا دراسة
2	دراسة إيه انتى جايا كل المسافة دى عشان تدرسى في المنيا دول بيهربو من هنا وينزلو القاهرة يدرسو ويشتغلو وانتى سايبة هناك وجايا هنا هههه
3	نصيبى بقى ومكتب التنسيق نعمل إيه بقى دنيا ههه
4	اممم بس لعلمك مافيش قرية بإسم المنشاوية في المنيا
5	ازى
6	هو في توضيح بسيط اسمها متغير من زمان وبقت مركز سمانوط.
7	تمام الحمد لله يعنى مش توهت
