line	text
2	چاد وسلمان فين يامه؟
3	انتي صحيتي ليه دلوك..؟ مش جولتي هتعنسي يابتي؟
4	العيال راحوا فين يامه، فهد خدهم اياك؟
5	يابتي أبوهم وحجه يشوفهم ويشوفوه.
12	وهو في شر شوفته اكتر من اكده..!
13	نوارة، اجفلي خاشمك ديه ووطي صوتك، آني معملتش چريمة آني خدت ولادي أشوفهم ساعة وكنت هرچعهم.
14	بعينك يا فهد، فاهم بعينك تاخد ولادي، مفكرني هآمن على عيالي مرة تانية مع واحد جاتل زيك ولا أختك الحرباية اللي واجفة ديه!؟
16	وااه، بتهددينا يابت بهية، عشنا وشفنا
26	عمي الدبب ياخدها ونخلصوا، آني إتحملتها كتير بسي خلاص إكده چابت آخرها معاي، ودلوك هات ولادي يا فهد وصدجني لو جربت منيهم تاني هندمك عالجديم جبل الچديد ياواد السياف.
29	يعني إيه؟
31	ملكش صالح يافهد وإبعد عني احسنلك آني أحب ما على جلبي اطلج منك وارتاح من شوفتك بس آني خيرتك بين الطلاج وبين إنك تبعد عني وإنت اخترت، خليك راچل مرة ونفذ كلمتك ولو عالأرض فمتچيش حاچة چنب الجروشات والأراضي اللي سابها سلمان، شجى عمره اللي جعد سنين متغرب لاچل يچمعه وفي الآخر ملحجش يتهنى بيه.
43	انا شايف اننا نأجل الخطوة دي سنة عالأقل، ميادة مبتعرفش لغات نهائي، اه هي شاطرة وذكية بس احنا في السويد ولازم تكون عالأقل بتتكلم انجليزي كويس
44	طيب وبعدين؟
45	هنجبلها مدرسين هنا، ونقدملها في كورسات شاملة وده أفضل ليها لحد ما تتعود وتاخد عالمكان هنا.
46	عندك حق، أنا هكلمها وأتفاهم معاها، ومتشكرة جدا يا يزيد انك وافقت تغامر معايا وتساعدني أسافر بيها برة مصر
47	مفيش داعي للشكر، أنا علشانك مستعد اعمل اي حاجة تسعدك، وهي كمان ملهاش حد يعني تستحق المساعدة، اومال فين مصطفي؟
48	مصطفي قاعد في اوضته من امبارح، أوقات بخاف عليه بيضحك وبيهزر طول الوقت بس جواه موجوع
49	وانتي يا سهيلة؟
50	انا خلاص، ربنا عوضني بميادة وبيك إنت كمان.
60	لاه جولي آني من الاول كان نفسي اسألك بس خوفت تزعلي مني.
63	اتفضلي اطلبي..
64	حاولي تتكلمي زينا كده تقدري ولا صعب عليكي؟
65	لاه مهواش صعب، بالعكس آني كرهت لهچتي وأي حاطة تفكرني بالنچع، مفيش حاچة هتفكرني بيهم بعد إكده غير تاري وتار اهلي
66	تقصدي ايه، إنتي تنسيهم خالص أنا معنديش إستعداد أخسرك إنتي فاهمة!؟
67	متخافيش، يلا إحكيلي بجى
68	حاضر، هحكيلك واخد رأيك في موضوع مهم اوي
69	موضوع ايه، استاذ يزيد إياك!
70	يعني نسخة منها وكمان لمضة زيها...
71	هي مين ديه، بتك؟!
72	ايوة بنتي، هحكيلك اهو...
78	خابر يا چاد، ميادة اختك النهاردة كملت عشرين سنة، خابر بجالها كام سنه غايبة عن حضني، سبع سنين، عداهم باليوم والساعة..
86	لاه، متشكر خليها مرة تانية
87	وااه بتتمتلج علي ياواد إياك
89	وآني كنت اشتكيتلك
90	يابني العمر بيچري وانت اللي باجي بعد اخوك ما هچ وفاتنا، اتچوز وافرح بعيالك
91	ان شاء الله لما انوي هجولك، سلام بجى اني آتأخرت جوي.
95	لاه نوم ايه هو اللي عنده عيلة زي دي ينام كيف؟
96	ربنا يبارك فيها..
99	نفسي اشوفك يانوح، اتوحشتك جوي، خايف اموت ومنتجابلش تاني
100	جريب هجيلك بس اخلص الشغل اللي ورايا، واعرف اتحجج بأي حاچة عمك فهد يصدجها.
101	لساته بيدور على
102	متشغلش بالك انت، المهم عندي تبجي بخير، يلا هسيبك تكمل نوم وسلملي على مرتك
15	وااه واحنا عملنا ايه؟
16	يا رضا فهد ماعملش اكده غير لما لجى نوارة كرهاه ومطيجاش تشوفه وكله من تحت راسك جولتلك اعمل لفهد بالمحبة جولتي لاه نعملوا العمل لنوارة بالكره...
24	طب وانا ذنبي ايه.
25	ذنبك انك بتضحك عليا معاه
26	انا بقالي سنين محروم من الضحك، من الفرحة محروم من اي حاجة تحببني في الدنيا. بس زي ما كنتي سبب في حرماني من شغفي بالحياة وجودك رجعلي كل اللي فات...
30	وانت هتعترض على ايه، ده انت عارف اني بحبها من قبل ما أعرف انا...
35	انا لازم اسافر الصعيد دلوقتي
36	بلاش تهريج يا سهيلة واسمعي الكلام خلينا نسافر ونبعد عن هنا
43	لاه كان بيدك كتير يام سلمان كان بيدك تهملي بتي تربي بناتها وتعيش بعيد عن حجدكم وكرهكم بس نجول ايه؟ اني كمان غصبتها لاچل الناس متجولش عايشة عازبه واها ضيعت بناتها التنين وبتي هتضيع هي التانية..
44	ربنا عالم بحالي وعالم ان نيتي كانت خير.
45	اجعدي يام سلمان شكلك تعبانه
46	بستسمحك اطل على نوارة وسلمان
52	رايد مرتي، كيف تخرج من المستشفي من غير ما اعرف؟
53	ملكش صالح ببتي تاني يابن السياف، ولا رايد تخلص عليها كيه بناتها
56	بس ايه، كنت بتنتجم من بتي بتأدبها، رايد تكسر ضهرها، منك لله، منك لله ده انت لو غريب مكانش هيهون عليك تعمل اكده..!
57	بزياداك ياعم ابراهيم اني خابر زين اني غلطان.
64	نوارة اني خابر انك كرهاني دلوك بس والله العظيم كلامك ديه مهواش حجيجه اني كنت بعند معاكي و...
65	طلجني واطلع من اهنه مريداش اشوفك تاني
66	لاه، طلاج لاه، اني طلجت بثينه وزعطتها على دارهم
67	واني الموت عندي اهون من چوازي منك
68	اني هعملك كل اللي تطلبيه الا الطلاج
71	خليكي اهنه بس متحرمنيش من ولادي
72	كيه ما حرمتني من بناتي هحرمك منيهم..
82	وااه، هتطردني من الچنة اياك، فيتهالك مخضرة بس هاخد بتي معاي
83	خدك عزرائيل، بتي مهتطلعش من داري
84	ومين هيربيها مرتك الحرباية اياك.
85	اهي ارحم منك ومن جلبك الاسود يلا غوري من اهنه متخلنيش اكسر دماغك جبل ما تطلعي...
15	سلمان ماله؟ هو اللي زعلك اياك!
16	ملكش صالح مين مزعلني حب على يد ابوك واطلع برة
17	حاضر، بس ارتاحي انتي
21	ياريت يا فهد، ياريت ميكررش غلط بدايته سهلة ونهايته موت
25	افتحي الباب يا ديدا بدل ما اكسره على دماغك
26	ارجوك تسيبني لوحدي
27	علشان خاطري افتحي الباب، سهيلة هتتجنن عليكي ويزيد مصمم يجي بكرة وانتي عارفه انه صعب ينزلوا فجأة كده
32	تخيل لما هربت منهم لو كنت وقعت في ايد حد غيركم كان هيبقي مصيري ايه، كان ممكن ابقي بنت ليل او واقفة اشحت في الشوارع، في الوقت اللي نوح بيه بقي مليونير بفلوس ابويا، ليه، ليه عملوا فينا كل ده، ليه يدمرونا كده!
40	انتي غيرانه انه سلم عليكي، غيرانه من نفسك
41	وهو يعرف اني ميادة؟ لا يبقي خاين وحقير
44	انا بكررررهه، بكرهه ومش عاوزة اشوفه لما شفته كان نفسي اقتله، شكله متغيرش ابدا زي ماهو، طول عمري بحس ناحيته بمشاعر غريبة بخاف اقرب منه وبحب قربه..
45	طيب ممكن تهدي وتبطل تعيطي بقيتي شبه الطماطم.
46	انا بجد مش قادرة اشرحلك اللي حاسة بيه موجوعه لدرجة صعب تتوصف
50	اعاملها ازاي يعني اقوم اضربلها تعظيم سلام، دي مجرد موظفه عندك مديرة اعمال يعني لازم تفتح عنيها وتركز معاكي.
51	وهي فعلا مركزة وشايفة شغلها وحضرتك عارف الكلام ده ياريت تدي نفسك فرصة ومتخدهاش بذنب غيرها، مش كل الناس شبه بعضها
52	انتي تقصدي ايه؟
53	اقصد انك لسه صغير وقمر ومفروض تعيش وتحب وتعوض اللي فاتك
54	قومي يابت اغسلي وشك وكلمي سهيلة وابعدي عني مش ناقصك انا..
55	على فكرة انا بحبك اوي
56	وانا بحبك اكتر يا ديدا ونفسي اشوفك اسعد بنت في الدنيا كلها، وبلاش دموع تاني مفهوم.
57	حاضر، هروح اكلم ماما وارجعلك تعيشيني برة، اوك
58	ماشي ياستي مقدرش اعترض سهيلة تدبحني
61	وانا كمان اتوحشتك بسي انت خابر ان خروچي صعب لحالي
62	مهواش صعب ولا حاچة انت كلها كام اسبوع وتدخلي الچامعة ووجتها نتقابلوا بكيفنا
63	بس اني خايفة ان ابويا يعرف يا چاد.
64	حتى لو عرف اني جولتلك مستعد اروح دلوك اطلب يدك منه بس انتي خابرة ان امك مهترضاش واصل..
65	خابرة ومعرفاش السبب، يعني انت ممكن تزهج وتبعد عني؟
66	لاه طبعا، بس افرضي چوزوكي لحد غيري
67	لاه اني مستحيل اوافج
68	ولو غصبوكي يا رباب، هتهمليني بعد ما بجيتي حياتي وحلم عمري
81	مساء الخير يا فنانة..
82	مساء النور...
83	محتاج من حضرتك خدمة، ممكن
84	اتفضل اكيد لو بايدي مش هتأخر
85	كتب كتاب اختي كمان اسبوعين ونفسها تغنيلها في الحفلة، هي بنت خالتي بس بعتبرها أختي.
93	انا اللي كنت مقصود مش هي، جودي فدتني بنفسها.
102	وجودي تطلع ايه كمان؟
103	وطي صوتك الخلج ملمومين حوالينا
104	خد امي وروحوا يا خال، اني جدامك بخير اها، ومش هتحرك من اهنه غير لما اطمن عالبنت..
105	لاه انت تمشي معانا دلوك وبعدين ابجي ارچع اطمن عالمعدولة.
106	جولتلك روحي دلوك اني مطيجش حالي، البنت كانت هتموت بسببي
107	تلاجيها ما صدجت..
108	يعني ايه؟
109	بترسم عليك لاچل ما تحبها، معلوم هما المغنواتيه دول سهلين اياك؟
112	وانتي مين ياختي اسمالله؟
113	انا سهيلة القاضي ياحيوانة، أم جودي اللي بتقولي بترسم على ابنك الجربوع ده، انتي تعرفي ايه عن بنتي، دي بنت يزيد القاضي تشتريكي انتي وابنك وبلدك بفلوسها
