line	text
1	"خرجت من المرحاض مُتكية على الحائط بذراعها والآخر أسفل بطنها مُتألمة من جرحها حتى وصلت إلى باب غرفتها فتحته ودلفت...
"
2	"أنتفض من مكانه حين فتحت الباب مُسرعاً لها يقول بلهفة: -
"
3	"- مش جولتلك تنادي عليا أساعدك
"
4	"أخذ يدها فتبسمت له بدلال وقالت بعفوية تمازحه: -
"
5	"- هتساعدنى أزاى، ضهرك موجعكش من الشيل
"
6	"حاوط خصرها بذراعه الآخر وهو يخطو بها نحو الفراش لكى تجلس وهتف مُتمتمًا: -.
"
7	"- أنا أتوجع منك ياجالان ياريت كل الوجع والتعب زى تعبك مكنتش حست بأى وجع طول حياتى.
"
8	"جلست على الفراش برفق ثم تمسكت بيده قالت بخفوت ولهجة دافئة: -
"
9	"- يا صقر أنت اللى شايل هموم ومبتبطلش تفكر في المشاكل وأنا بقلق لما بشوفك بتكلم عوض في الخفي.
"
10	"أربت على يدها بحنان راسمًا قناع بأبتسامة مزيفة يخفي خلفها تلك المؤامرة التي يخفيها عنها وتشعر هي بها ثم أردف قائلاً: -
"
11	"- متجلجيش ياجلب صجر مفيش حاجة من الكلام دا خالص
"
12	"ضحكت بخفة له ثم قالت بثقة: -
"
13	"- أنا عارفة أنك بتعمل حاجة بس أنا خايفة عليك المفروض قبل ما تعمل حاجة تفكر فيا أنا وابنك وأن مالناش غيرك.
"
14	"- سلامتك من الخوف ياقلبي صدجينى مفيش الكلام دا خالص وأنا معنديش حاجة اهم منكم ولا عاوز غيرك
"
15	"قالها بحنان وهو يمسح على رأسها بحنان، نظرت لعيناه بضعف ثم قالت بترجى: -
"
16	"- طب أحلف أحلف أن مفيش حاجة
"
17	"أدار وجهه عنها مُتحاشي النظر لعيناها فقالت بحزن مُستاءة من صمته: -
"
18	"- شوفت بقي أن في حاجة أهو بتعملها
"
19	"رمقها بنظره بعد أن مسك يدها بين قبضته ثم هتف مُتمتمًا: -
"
20	"- حجك لازم أجيبه ياحبيبتى لازم أجيب حجك.
"
21	"أقتربت منه قليلًا ثم قالت: -
"
22	"- أنا مش عاوزة حقوق أنا هاوزك أنت بس
"
23	"وضع قبلة على جبينها بحنان ثم نظر لعيناها وقال بحنان: -
"
24	"- وأنا مش هتنازل عن حجك وأوعدك مش هأذي نفسي...
"
25	"عانقته بخوف عليه فطوقها بذراعيه ثم أربت على ظهرها بحنان، أغمضت عيناها بأستسلام لخوفها من حديثه فقطعها صوت مروان يبكي يخبرها بأستيقاظه، أبتعدت عنه بأحراج وأستدارت برفق وأنحنت قليلاً على طفلها تربت على صدره بحنان ليهدأ ويتوقف عن البكاء ولم يصمت بل يزداد بكاء فحملته على ذراعيها..
"
26	"هتف بهدوء وهو يقف ذاهبًا قائلاً: -
"
27	"- أنا هسخنلك الأكل
"
28	"- ماشي
"
29	"قالتها وهي تهز طفلها بحنان ليصمت، خرج صقر للخارج ثم هتفت بحنان مُحدثة طفلها: -
"
30	"- خلاص بقي ياحبيب مامى، طب أنت جعان
"
31	"جلست ترضعه فصمت وهو يتشبث بأمه، ضحكت عليه باسمة وهو بين ذراعيها تتأمله وهو يغفو في نومه ثم وضعته على الفراش برفق وحذر حتى لايستيقظ، ولج صقر إلى الغرفة يحدثها: -
"
32	"- سخنتلك الشوربة و...
"
33	"بتر حديثه بأستياء تقول بهمس: -.
"
34	"- هششششش هتصحيه
"
35	"نظر على طفله وأشار إليها برأسه بنعم وأقترب لها بالطعام...
"
36	"خرجت فريدة من المرحاض بعد أن أخذت حمامها مُرتدية روب الأستحمام وهلعت بفزع حين ظهر أمامها من العدم فنظرت له بخوف ثم ضربته على صدره بأغتياظ وتهتف بجدية قائلة: -
"
37	"- أنت مش هتعجل أنا هجطع الخلف بسببك
"
38	"- سلامتك ياقلبي
"
