line	text
1	"(في الصعيد)
"
2	"الحارس: سليم بيه وصل يا حاج ابراهيم سليم بيه وصل
"
3	"ليأتي الجميع سريعاً
"
4	"الجده: وحشتني جوي(اوي) يا والدي
"
5	"و هي تأخذه بحضنها
"
6	"سليم: و انتي كمان ولاهي يا زينب
"
7	"الجد: زينب عيب يا واد دي جدتك ماشي يا سليم تعالي في حضني يا سليم
"
8	"الجده: ده يجول (يقول) ال عاوزو
"
9	"سليم: هتأكليني ايه يا جدتي انهارده بقا انا معاكي لأسبوع
"
10	"الجدة: كل ال تحبو يا عيون جدتك
"
11	"القاهرة بالمول التجاري.
"
12	"بعد ان اشتروا الكثير من الملابس يجلسون الأن بكافيه
"
13	"سارة: انا بجد مش عارفة انتي ايه مش عاجبك في البلد ولا عاوزه تروحيها حتى ليه
"
14	"ميرال: دي كلها ارياف و اماكن غريبه لا انا مش طيقاها
"
15	"سارة: ليه بس كده مش يمكن تلاقي حب حياتك هناك
"
16	"ميرال: نعمم انتي اتجننتي يا سارة يعني انا سايبه القاهرة عشان اروح احب في الصعيد قال حب حياتي من الصعيد قال لا ده انتي اكيد اتجننتي.
"
17	"سارة: خلاص خلاص اهدي ايه ده حنفيه و اتفتحت يلا بينا نروح نجهز حاجتنا بقا
"
18	"ميرال: اوف اوك يلا
"
19	"في الصعيد
"
20	"يجلسون علي المائدة
"
21	"الجدة: كل يا سليم انت و يوسف
"
22	"سليم: بناكل صدقيني يا جدتي كلي انتي بس
"
23	"يوسف بهمس لسليم: زينب عاوزه تخلينا قد شوال القطن في خلال اسبوع
"
24	"سليم بهمس: طب اسكت عشان لو سمعتك هتمسكك فعلا و تظغطك زي البط
"
25	"يوسف: لا و علي ايه اديني ساكت
"
26	"الجد: بتتحددوبتتكلموفي ايه
"
27	"يوسف: لا ولا حاجه يا جدي هنتكلم في ايه.
"
28	"الجد: طيب يا يوسف مش ناوين تتجوزو ولا ايه هتفضلو اكدهكده
"
29	"سليم: لا يا جدي جواز ايه مش وقتو خالص
"
30	"يوسف: ولا انا جواز ايه انا مش بتاع جواز
"
31	"الجد: ليه ناقصكو ايه يا ولاد الشافعي ماشي اما نشوف يا ولاد ولادي ما تجوليتقوليحاجه يا ليلي ولا عجبك كلام ابنك ده
"
32	"(ليلي والده سليم طيبه القلب و تعشق ابنها و تريد ان تراه متزوج و لديه اولاد)
"
33	"ليلي: لا يا بابا مش عاجبني و بقولو كده بس يسمع لمين بقا.
"
34	"الجد: ماشي هنشوف ااموضوع ده معاهم هما الاتنين
"
35	"بالقاهرة في فيلا الألفي
"
36	"لقد اتت الفتاتان
"
37	"ميرال: مامي احنا جينا
"
38	"نهال: طب يلا بقا علي العشاء عشان تلحقو تحضرو هدومكم عشان هنمشي بدري بكرة
"
39	"ميرال: لا يا مامي انا و سارة كلنا برة
"
40	"نهال: طيب يا حبيبتي خلاص روحو حضروا شنطتكمثم ل توجه كلامها لسارهو انتي يا ساره هتخلصي شنطتك و هتجي تباتي هنا في اوضتك عشان هنمشي سوا و مش عاوزة نقاش في الموضوع ده.
"
41	"سارة: يعني ممنوع الرفض اوك خلاص حاضر يا طنط
"
42	"لتصعد بعد ذلك ميرال إالي غرفتها و تذهب سارة إلى بيتها لتحضير شنطتها
"
43	"في بيت الشافعي
"
44	"بعد ان حل المساء ليجلس سليم و يوسف في حديقة البيت
"
45	"يوسف: انا حاسس ان جدك مسك في حوار الجواز دع
"
46	"سليم: كلهم عارفينان مبعملش حاجةغصب عني فاخليهم يتكلمو براحتهم
"
47	"يوسف: صح هو الكلام بفلوس ايه بقا مش هتطلع تنام
"
48	"سليم: لا هطلع تعالا ننام
"
49	"يوسف: يلا
"
50	"ب فيلا احمد الألفي.
"
51	"بعد ان اتت سارة يجلسون الفتاتان
"
52	"سارة: انا مش عارفه انتي سهرانة لية و عارفة اننا هنسافر بدري
"
53	"ميرال: اوف خلاص عاوزة تنامي اطلعي انتي
"
54	"سارة: لا هنطلع انا و انتي يلا
"
55	"ميرال: يخربيت الزن طيب يلا
"
56	"ثم يذهب جميع ابطالنا في نوم عميق
"
57	"ليأتي صباح يوم جديد
"
58	"فيلا الألفي
"
59	"تدخل نهال غرفة سارة
"
60	"نهال: سارة حبيبتي يلا بقا اصحي و اجهزي عشان نلحق نوصل بدري
"
61	"سارة: خلاص يا حبيبتي انا صحيت هقوم علي طول اهو.
"
62	"نهال: طيب يلا قومي عقبال ماصحي ميرال
"
63	"لتذهب إلى غرفة ميرال لتفتح ستائر الشرفة
"
64	"ميرال: تاني يا مامي
"
65	"نهال: اه تاني يلا بقا قومي عشان نلحق نسافر
"
66	"ميرال: خلاص هقوم
"
67	"بيت الشافعي
"
68	"يستيقظان ابطالنا منذ ظهور الشمس للذهاب إلى المزرعة لركوب خيولهم
"
69	"لينزل سليم و يوسف إلى الاسفل ليرو جدهم سليم و يوسف: صباح الخير يا جدي
"
70	"الجد: صباح الفل عليكم رايحين فين علي الصبح اكدهكده
"
71	"يوسف: راحين المزرعه نشوف الاحصنة يا جدي.
"
72	"الجد: طيب بس اوعاكماوعوتتأخرو عشان الضيوف ال جايين
"
73	"سليم: لا متقلقش انشاء الله هنيجي بدري
"
74	"الجد: ماشي مع السلامة
"
75	"في سيارة احمد الألفي
"
76	"ميرال: بابي انا زهقت احنا قربنا نوصل
"
77	"احمد: اه قربنا خلاص و بعدين انتي من اول ماركبنا و بتقولي زهقت
"
78	"نهال: خلاص بقا يا ميرال بطلي ال بتعمليه ده
"
79	"ميرال: اوف اديني سكت
"
80	"و بعد مرور أكثر من ساعة
"
81	"في الصعيد
"
82	"يدخل الحارس: يا حاج في بيه اسمه احمد الألفي ادخله.
"
1	"ميرال بقلق: في إيه
"
2	"سليم بهدوء: هنزل الشغل من انهاردة الاجازة اتلغت
"
3	"ميرال بغضب: يعني إيه يا سليم
"
4	"سليم بهدوء: يعني اتلغت يا ميرال يعني هنزل انهاردة الشغل
"
5	"ميرال بغضب: لا مينفعش كدة متهزرش بقا انت واخد اجازة
"
6	"سليم بعصبية: انا قولت خلاص هنزل الشغل من انهاردة و مش عاوز كلام كتير
"
7	"ميرال بعصبية: يعني ايه بقا لا يا سليم متنزلش الشغل و بعدين دي اجازة و علي كدة طبعا مفيش خروج اصلا انا غلطانة اني بصدق البتقوله.
"
8	"سليم بغضب و هو يجذبها من يديها: واضح اني بدل ماعدلك دلعتك بس شوفي بقا معملتي ال بعد كدة انا هظبطك من اول و جديد يا ميرال
"
9	"ميرال بعصبية: لا علي فكرة مفيش حاجة فيا معوجة عشان اتظبط بس انت ال مش قد كلمتك و لا و عودك يا سليم.
"
10	"سليم بعصبية و هو يضغط علي يديها بقوة: انا مش قولتلك 100 مرة صوتك ميعلاش عليا و اتعدلي في كلامك عشان متشوفيش وشي التاني و بعدين دة شغلي مش استعباط هو و لا لعب عيال دي قضايا و في حياة ناس
"
11	"ميرال بغضب: لية بقا هو انت لعبة في ايديهم زي ماهما عاوزين روح يا سليم تعالي يا سليم
"
12	"و دي اجازة المفروض تاخدها كاملة إلا انت بقا فعلاً معندكش شخصية معاهم و تطلع كل حاجة عليا انا
"
13	"لتسود اعين سليم من الغضب.
"
14	"سليم بغضب: مش انا ال تتكلمي معايا كدة و اذا كان كنتي بتتعاملي كدة مع كل الناس يبقا مش معايا انا و اذا محدش علمك تتكلمي مع جوزك ازاي يبقا انا ال هعلمك و هربيكي من اول و جديد يا ميرال و حسابك معايا اما ارجعليترك يديها بعنف لتقع و يأخذ هاتفه و يترك المنزل و يذهب.
"
15	"في طائرة إلى باريس
"
16	"سارة بخوف: يوسف يلا ننزل انا مش عاوزه اسافر
"
17	"يوسف بضحك: انتي اتجننتي يا سارة خلاص الطيارة هتتحرك
"
18	"سارة بخوف: لا يا يوسف بجد مش عاوزة اروح انا عاوزة انزل عشان خطري يا يوسف
"
19	"يوسف بقلق: يا سارة خلاص الطيارة بتتحرك خايفة من إيه طب غمضي عينك و امسكي فيا متقلقيش انا جانبك
"
20	"سارة علي وشك البكاء: لا يا يوسف انا عاوزة انزل مش هروح حته انت مش بتفهم.
"
21	"يوسف بعصبيه قليلة: ايوة بقا ما انا بصراحة مش فاهم انتي عارفة ان احنا هنركب طيارة جاية دلوقتي و بتعملي كدة
"
22	"سارة ببكاء: انت مش فاهم إيه ال حصل بقولك مش هروح حته انت مش فاهم حاجة
"
23	"يوسف بهدوء: طب خلاص خلاص بطلي عياط بس في إيه الحصل
"
24	"لتنظر إلية و هي لم تقدر علي التنفس لتتكلم
"
25	"مضيفة الطيارة: طب يا فندم احنا ممكن نديها مهدئ
"
26	"يوسف بخوف: طب بسرعة لو سمحتي
"
27	"مضيفة الطيارة: اهو يا فندم.
"
28	"ليعطيها يوسف المهدئ لتهدئ بعد قليل و تنام
"
29	"يوسف بقلق: سارة حبيبتي انتي كويسة
"
30	"مضيفة الطيارة: هي هتنام علي طول يا فندم متقلقش
"
31	"يوسف بأبتسامة: طب شكراً ليكي
"
32	"مضيفة الطائرة: العفو يا فندم
"
33	"لتتركهم و تذهب ليأخذ سارة بحضنه لتمسك يديه بقوة كأنه تشعر بيه.
"
34	"وكالة النيابة العامة
"
35	"سليم: بس القضية دي الناس ال فيها مش ساهلين و صعب يسيبوا ادله وراهم
"
36	"رئيس النيابة العامة: ما هي دي مهمتك بقا يا سليم انا قولت مفيش حد هيحلها غيرك
"
37	"سليم: انشاء الله هكون عند حسن ظن حضرتك و هشتغل عليها بكل جهدي
"
38	"رئيس النيابة العامة: انا واثق من دة يا سليم و خلي بالك مسعود الكيلاني دة مش سهل و اكيد هيحاول يتعامل معاك.
"
39	"سليم: احنا شوفنا كتير من الناس دي يا فندم و اكيد مش هيكون اخر واحد بس دة باين انه صعب اوووي يعني اثار و مخدرات و اسلحة في نفس الوقت باين انه كبير اوووي
"
40	"رئيس النيابة العامة: هو اتمسك في قضايا كتير بس بيطلع منها زي الشعره من العجين بس مش عاوزين كدة المرادي
"
41	"سليم: أنشألله يا فندم
"
42	"رئيس النيابة العامة: و معلش بقا يا سليم قطعنا عليك الاجازة بس انت ممكن تمشي دلوقتي بس عاوزك تدرس القضية و من بكرة نشتغل عليها.
"
43	"سليم: لا عادي يا فندم دة شغلي و اكيد هدرسها كلها انهاردة بعد اذن حضرتك
"
44	"رئيس النيابة العامة: اتفضل.
"
45	"فيلا سليم الشافعي
"
46	"ميرال بضحك: ههههه لا بجد الفيلم دة مسخرة
"
47	"نعم فهي تجلس و تري فيلم كوميدي بكل برود و لم يكن علي بالها شئ لتأتي لها دادة نسيمة
"
48	"دادة نسيمة: هتكلوا ايه انهاردة يا بنتي عشان احضر الاكل
"
49	"ميرال: معرفش بجد يا دادة
"
50	"دادة نسيمة: هو سليم بيحب المكرونات و شوفي بقا نحط إيه
"
51	"ميرال: خلاص يا دادة يبقا نجرسكو و جانبها بانية
"
52	"دادة نسيمة: خلاص ماشي يا بنتي.
"
